Ind	Sex	Region	Haplogroup	Class	CNE	WBI	WE
POBI728755	M	Cumbria	I1	I1	0.52908	0.311289	0.159631
POBI728762	M	Cumbria	I1	I1	0.391754	0.427024	0.181222
POBI728776	M	Cumbria	G2a2b	G	0.150471	0.710013	0.139516
POBI728788	M	Cumbria	R1b1a2a1a2b	R-P312	0.273949	0.360797	0.365254
POBI728829	M	Cumbria	G2a2b	G	0.400641	0.551722	0.047637
POBI728838	M	Cumbria	R1b1a2a1a1	R-U106	0.517429	0.482561	0.00001
POBI728875	M	Cumbria	I2a1b2a	I2a1b	0.190258	0.424537	0.385205
POBI728878	M	Cumbria	R1b1a2a1a1	R-U106	0.300192	0.4032	0.296608
POBI728893	M	Cumbria	G2a2b	G	0.211709	0.584846	0.203445
POBI728902	M	Cumbria	R1b1a2a1a1	R-U106	0.344368	0.633925	0.021707
POBI728960	M	Cumbria	R1b1a2a1a2b	R-P312	0.564218	0.178276	0.257506
POBI728966	M	Cumbria	J2a1	J	0.383969	0.352831	0.2632
POBI728972	M	Cumbria	G2a2b	G	0.244878	0.559213	0.195909
POBI728978	M	Cumbria	I2a1b1	I2a1b	0.523946	0.408505	0.067548
POBI728989	M	Cumbria	R1b1a2a1a1	R-U106	0.157359	0.656808	0.185833
POBI729001	M	Cumbria	E1b1b1b1a1	E	0.269458	0.439198	0.291344
POBI729007	M	Cumbria	R1b1a2a1a1c2a1	R-U106	0.309557	0.24455	0.445894
POBI729080	M	Cumbria	R1b1a2a1a1	R-U106	0.290642	0.386827	0.322531
POBI729109	M	Cumbria	R1b1a2a1a1c2a1	R-U106	0.387823	0.269	0.343177
POBI729120	M	Cumbria	R1b1a2a1a1	R-U106	0.487869	0.459179	0.052952
POBI729123	M	Cumbria	R1b1a2a1a2c1a1a1a1	R-P312	0.357245	0.479631	0.163124
POBI729126	M	Cumbria	I2a1b1	I2a1b	0.066142	0.890875	0.042984
POBI729138	M	Cumbria	R1b1a2a1a2c1a1a1a1	R-P312	0.332965	0.514789	0.152246
POBI729149	M	Cumbria	R1b1a2a1a1	R-U106	0.00001	0.824905	0.175085
POBI729178	M	Cumbria	J2b2	J	0.317765	0.553287	0.128948
POBI729204	M	Cumbria	G2a2b	G	0.506276	0.382155	0.111569
POBI729210	M	Cumbria	J	J	0.541832	0.400666	0.057503
POBI729218	M	Cumbria	R1b1a2a1a1c2b1a1a	R-U106	0.499133	0.338931	0.161935
POBI729224	M	Cumbria	R1b1a2a1a2b	R-P312	0.192405	0.346219	0.461376
POBI729227	M	Cumbria	I1	I1	0.492297	0.430319	0.077383
POBI729257	M	Cumbria	R1b1a2a1a1	R-U106	0.207852	0.561641	0.230506
POBI729265	M	Cumbria	I2a1b1	I2a1b	0.327884	0.657178	0.014938
POBI729271	M	Cumbria	R1b1a2a1a1	R-U106	0.371664	0.555757	0.07258
POBI729285	M	Kent	E1b1b1b2a1a	E	0.645596	0.159233	0.195171
POBI729290	M	Kent	R1b1a2a1a1	R-U106	0.484137	0.287689	0.228174
POBI729294	M	Kent	G2a2b	G	0.498515	0.160911	0.340574
POBI729327	M	Kent	I2	I2	0.23991	0.516681	0.243409
POBI729338	M	Kent	R1b1a2a1a2d	R-P312	0.666071	0.00001	0.333919
POBI729344	M	Kent	I1	I1	0.484048	0.164848	0.351104
POBI729356	M	Kent	I1	I1	0.160052	0.336458	0.50349
POBI729362	M	Kent	R1b1a2a1a1	R-U106	0.511247	0.008185	0.480567
POBI729419	M	Kent	E1b1	E	0.46888	0.139051	0.392069
POBI729443	M	Norfolk	R1b1a2a1a2c1a1a1a1	R-P312	0.335795	0.134737	0.529469
POBI729447	M	Kent	R1b1a2a1a1	R-U106	0.589773	0.13833	0.271897
POBI729466	M	Kent	R1b1a2a1a1	R-U106	0.653431	0.092946	0.253623
POBI729474	M	Kent	I2a1b1	I2a1b	0.583939	0.321269	0.094792
POBI729493	M	Kent	J2b2	J	0.722387	0.061579	0.216033
POBI729497	M	Kent	I1	I1	0.536081	0.143902	0.320017
POBI729504	M	Kent	R1b1a2a1a1	R-U106	0.509127	0.068601	0.422272
POBI729521	M	Kent	R1b1a2a1a2d	R-P312	0.492626	0.188221	0.319153
POBI729536	M	Norfolk	I1	I1	0.473525	0.148222	0.378253
POBI729540	M	Kent	R1b1a2a1a2b	R-P312	0.178711	0.341087	0.480202
POBI729592	M	Kent	R1b1a2a1a1c2a1	R-U106	0.192456	0.636744	0.170799
POBI729615	M	Kent	I1	I1	0.40516	0.481119	0.113721
POBI729619	M	Kent	R1b1a2a1a2b	R-P312	0.590358	0.207907	0.201735
POBI729678	M	Lincolnshire	I2a1a1a	I2a1a	0.572515	0.27919	0.148295
POBI729698	M	Lincolnshire	R1b1a2a1a1	R-U106	0.433791	0.332453	0.233756
POBI729713	M	Lincolnshire	R1b1a2a1a1	R-U106	0.390011	0.263382	0.346607
POBI729725	M	Lincolnshire	I2a1b2a	I2a1b	0.476887	0.22928	0.293833
POBI729769	M	Lincolnshire	R1b1a2a1a1	R-U106	0.568627	0.184425	0.246949
POBI729772	M	Lincolnshire	R1a1a	R1a	0.583359	0.242568	0.174073
POBI729800	M	Lincolnshire	G2a2b	G	0.63123	0.250591	0.118178
POBI729809	M	Lincolnshire	R1b1a2a1a1	R-U106	0.569402	0.187131	0.243467
POBI729812	M	Lincolnshire	R1a1a	R1a	0.384253	0.327543	0.288204
POBI729868	M	Lincolnshire	I1	I1	0.518028	0.232876	0.249095
POBI729901	M	Lincolnshire	R1b1a2a1a2a1a1a1	R-P312	0.480615	0.205834	0.313552
POBI729904	M	Lincolnshire	R1a1a	R1a	0.462334	0.123823	0.413842
POBI729907	M	Lincolnshire	R1b1a2a1a1	R-U106	0.544411	0.219543	0.236046
POBI729937	M	NortheastEngland	R1b1a2a1a1	R-U106	0.329357	0.470379	0.200264
POBI729954	M	NortheastEngland	G2a2b	G	0.28049	0.495559	0.223951
POBI729973	M	NortheastEngland	I1	I1	0.335282	0.408396	0.256322
POBI729976	M	NortheastEngland	R1b1a2a1a1	R-U106	0.119044	0.695489	0.185467
POBI729990	M	NortheastEngland	I1	I1	0.488098	0.499831	0.012071
POBI729996	M	NortheastEngland	I1	I1	0.466978	0.503126	0.029895
POBI730013	M	NortheastEngland	R1b1a2a1a1	R-U106	0.213532	0.447	0.339468
POBI730021	M	NortheastEngland	I1	I1	0.513597	0.41083	0.075573
POBI730027	M	NortheastEngland	R1b1a2a1a1	R-U106	0.322128	0.586286	0.091587
POBI730033	M	NortheastEngland	R1b1a2a1a2b	R-P312	0.393028	0.337974	0.268998
POBI730035	M	NortheastEngland	R1b1a2a1a1	R-U106	0.117265	0.686357	0.196377
POBI730039	M	NortheastEngland	R1b1a2a1a1	R-U106	0.357563	0.642427	0.00001
POBI730097	M	NortheastEngland	I2a1b1	I2a1b	0.417544	0.463337	0.119119
POBI730105	M	NortheastEngland	I2	I2	0.305884	0.501328	0.192788
POBI730117	M	NortheastEngland	R1b1a2a1a1	R-U106	0.011226	0.531376	0.457398
POBI730132	M	NortheastEngland	R1b1a2a1a1	R-U106	0.474535	0.475399	0.050066
POBI730134	M	NortheastEngland	R1b1a2a1a1	R-U106	0.128619	0.688167	0.183215
POBI730138	M	NortheastEngland	J2b2	J	0.17602	0.453186	0.370794
POBI730142	M	NortheastEngland	R1b1a2a1a2b	R-P312	0.335949	0.365017	0.299035
POBI730150	M	NortheastEngland	I2	I2	0.129075	0.64827	0.222655
POBI730160	M	NortheastEngland	J2b2	J	0.221457	0.489732	0.288811
POBI730179	M	NortheastEngland	R1a1a	R1a	0.417112	0.582878	0.00001
POBI730201	M	NortheastEngland	R1b1a2a1a1	R-U106	0.347934	0.394055	0.258011
POBI730215	M	NortheastEngland	R1b1a2a1a1	R-U106	0.32532	0.587136	0.087544
POBI730248	M	NortheastEngland	R1b1a2a1a1	R-U106	0.416025	0.583965	0.00001
POBI730267	M	NortheastEngland	I1	I1	0.512348	0.435468	0.052184
POBI730273	M	NortheastEngland	I1	I1	0.329505	0.563027	0.107468
POBI730277	M	NortheastEngland	J2a1	J	0.593167	0.372842	0.033991
POBI730289	M	NortheastEngland	I1	I1	0.336561	0.32891	0.33453
POBI730302	M	NortheastEngland	R1b1a2a1a1c2a1	R-U106	0.072946	0.839553	0.087501
POBI730318	M	Oxfordshire	I1	I1	0.516328	0.206623	0.277048
POBI730334	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.734975	0.181586	0.083439
POBI730340	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.458301	0.111381	0.430318
POBI730352	M	Oxfordshire	R1b1a2a1a1	R-U106	0.585894	0.311615	0.102491
POBI730354	M	Oxfordshire	I2a1b2a	I2a1b	0.496674	0.28989	0.213436
POBI730386	M	Oxfordshire	I2a1b2a	I2a1b	0.808234	0.185404	0.006361
POBI730394	M	Oxfordshire	I2a1b1	I2a1b	0.402695	0.237255	0.36005
POBI730400	M	Oxfordshire	R1b1a2a1a1	R-U106	0.529015	0.234332	0.236653
POBI730421	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.388204	0.293378	0.318418
POBI730431	M	Oxfordshire	R1b1a2a1a1	R-U106	0.442708	0.059911	0.497381
POBI730433	M	Oxfordshire	R1b1a2a1a2b	R-P312	0.4841	0.261769	0.254131
POBI730441	M	Oxfordshire	R1b1a2a1a1	R-U106	0.515695	0.208756	0.27555
POBI730469	M	Oxfordshire	R1b1a2a1a1	R-U106	0.324369	0.357789	0.317842
POBI730473	M	Oxfordshire	I1	I1	0.586182	0.367223	0.046595
POBI730489	M	Oxfordshire	I1	I1	0.6652	0.179998	0.154802
POBI730513	M	Yorkshire	I1	I1	0.363436	0.594194	0.04237
POBI730521	M	Yorkshire	I2a1b1	I2a1b	0.611308	0.157697	0.230995
POBI730528	M	Yorkshire	R1b1a2a1a1	R-U106	0.408915	0.532158	0.058927
POBI730542	M	Yorkshire	I1	I1	0.426217	0.528527	0.045256
POBI730558	M	Yorkshire	I1	I1	0.159777	0.584032	0.25619
POBI730560	M	Yorkshire	I1	I1	0.564804	0.276565	0.158632
POBI730566	M	Yorkshire	R1b1a2a1a1	R-U106	0.552282	0.33582	0.111898
POBI730576	M	Yorkshire	I1	I1	0.54615	0.318477	0.135373
POBI730580	M	Yorkshire	R1b1a2a1a1	R-U106	0.303908	0.543179	0.152913
POBI730582	M	Yorkshire	R1b1a2a1a1	R-U106	0.607798	0.392192	0.00001
POBI730592	M	Yorkshire	R1b1a2a1a2b	R-P312	0.432216	0.414951	0.152832
POBI730602	M	Yorkshire	I1	I1	0.441318	0.462614	0.096068
POBI730604	M	Yorkshire	G2a2b	G	0.339726	0.402604	0.257669
POBI730606	M	Yorkshire	R1a1a	R1a	0.686873	0.278685	0.034442
POBI730612	M	Yorkshire	I2a1b2a	I2a1b	0.496014	0.172153	0.331833
POBI730614	M	Yorkshire	R1a1a	R1a	0.400089	0.287467	0.312444
POBI730616	M	Yorkshire	R1b1a2a1a1c2a1	R-U106	0.416755	0.495175	0.088069
POBI730620	M	Yorkshire	R1b1a2a1a2c1a1a1a1	R-P312	0.298164	0.587299	0.114537
POBI730647	M	Yorkshire	I2a1b1	I2a1b	0.468013	0.531977	0.00001
POBI730657	M	Yorkshire	R1b1a2a1a2b	R-P312	0.628118	0.217955	0.153926
POBI730659	M	Yorkshire	R1b1a2a1a1	R-U106	0.502793	0.234781	0.262426
POBI730679	M	Yorkshire	R1b1a2a1a2c1a1a1a1	R-P312	0.309257	0.309429	0.381315
POBI730685	M	Yorkshire	R1b1a2a1a2b	R-P312	0.601296	0.08364	0.315064
POBI730693	M	Yorkshire	I1	I1	0.584298	0.040345	0.375357
POBI730707	M	Cheshire	R1b1a2a1a1c2a1	R-U106	0.545262	0.198461	0.256277
POBI730721	M	Cheshire	R1b1a2a1a2b	R-P312	0.368509	0.261449	0.370041
POBI730727	M	Cheshire	R1b1a2a1a1	R-U106	0.453913	0.05237	0.493717
POBI730740	M	Northamptonshire	G2a2b1a1a	G	0.576182	0.410115	0.013703
POBI730750	M	Cheshire	R1b1a2a1a2b	R-P312	0.383648	0.251826	0.364527
POBI730760	M	Northamptonshire	R1b1a2a1a2b	R-P312	0.412265	0.165729	0.422007
POBI730766	M	Northamptonshire	R1b1a2a1a1	R-U106	0.650439	0.00001	0.349551
POBI730770	M	Cheshire	R1b1a2a1a1c2a1	R-U106	0.308672	0.691318	0.00001
POBI730793	M	Cheshire	R1a1a	R1a	0.255781	0.744209	0.00001
POBI730799	M	Cheshire	R1b1a2a1a2b	R-P312	0.233695	0.524973	0.241332
POBI730803	M	Cheshire	R1b1a2a1a1c2b1a1a	R-U106	0.416712	0.210583	0.372704
POBI730805	M	Northamptonshire	I1	I1	0.385488	0.282235	0.332277
POBI730810	M	Northamptonshire	R1b1a2a1a1c2a1	R-U106	0.381952	0.192506	0.425542
POBI730814	M	Cheshire	I1	I1	0.462653	0.01708	0.520266
POBI730816	M	Cheshire	R1b1a2a1a1	R-U106	0.106814	0.610693	0.282493
POBI730818	M	Cheshire	I1	I1	0.582964	0.394372	0.022664
POBI730836	M	Northamptonshire	I1	I1	0.470704	0.137645	0.391651
POBI730845	M	Cheshire	R1b1a2a1a1	R-U106	0.284851	0.650923	0.064226
POBI730857	M	Northamptonshire	R1a1a	R1a	0.498112	0.355739	0.146149
POBI730875	M	Northamptonshire	I2a1b1	I2a1b	0.375866	0.085239	0.538895
POBI730884	M	Herefordshire	R1b1a2a1a1	R-U106	0.32004	0.571126	0.108834
POBI730890	M	Leicestershire	I1	I1	0.65301	0.34698	0.00001
POBI730894	M	Leicestershire	R1b1a2a1a1	R-U106	0.626731	0.164044	0.209225
POBI730908	M	Herefordshire	R1b1a2a1a1	R-U106	0.408309	0.446171	0.14552
POBI730916	M	Leicestershire	R1b1a2a1a2b	R-P312	0.337751	0.498231	0.164018
POBI730921	M	Leicestershire	I2a1b2a	I2a1b	0.631079	0.335628	0.033293
POBI730923	M	Leicestershire	R1b1a2a1a1c2a1	R-U106	0.608444	0.259481	0.132075
POBI730927	M	Leicestershire	J2a1	J	0.642955	0.212064	0.144982
POBI730939	M	Leicestershire	I1	I1	0.474071	0.262509	0.263419
POBI730951	M	Leicestershire	R1b1a2a1a2b	R-P312	0.38201	0.392465	0.225525
POBI730964	M	Leicestershire	R1b1a2a1a1c2a1	R-U106	0.312455	0.289436	0.398109
POBI730966	M	Leicestershire	I2	I2	0.485217	0.113817	0.400966
POBI730970	M	Leicestershire	R1b1a2a1a1c2b1	R-U106	0.651091	0.140033	0.208876
POBI730978	M	Herefordshire	I2a1b1	I2a1b	0.259983	0.333253	0.406763
POBI731003	M	Herefordshire	R1b1a2a1a1	R-U106	0.218999	0.46432	0.316681
POBI731021	M	Leicestershire	R1b1a2a1a1	R-U106	0.414537	0.14374	0.441723
POBI731022	M	Leicestershire	I1	I1	0.414748	0.349984	0.235268
POBI731026	M	Herefordshire	R1b1a2a1a1	R-U106	0.268325	0.26829	0.463385
