ID	GroupID	Population	Country	Reduced
VK69.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	H2
VK70.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	H7
VK296.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	HV
VK297.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	J1c
VK71.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	U5a
VK65.SG	Denmark_EarlyViking.SG	NorthSea_EMA	Denmark	V25
VK213.SG	Denmark_IA.SG	NorthSea_EMA	Denmark	H1
VK521.SG	Denmark_IA.SG	NorthSea_EMA	Denmark	H16
VK582.SG	Denmark_IA.SG	NorthSea_EMA	Denmark	H6
VK532.SG	Denmark_IA.SG	NorthSea_EMA	Denmark	U2
VK275.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H
VK247.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H10
VK280.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H11
VK312.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H13
VK369.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK371.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK411.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK141.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK313.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK319.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK340.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK92.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H1
VK368.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H26
VK300.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK330.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK329.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK90.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK288.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK384.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK364.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H3
VK282.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H4
VK383.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H5
VK327.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H6
VK314.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H6
VK285.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H7
VK370.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	H7
VK276.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	HV
VK290.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	I1
VK279.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	I4
VK367.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1b
VK286.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK292.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK215.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK216.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK84.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK139.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK284.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J1c
VK366.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J2a
VK289.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J2b
VK373.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	J2b
VK316.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	K1a
VK133.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	K1a
VK322.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	K1a
VK87.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	K1c
VK323.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	K2a
VK324.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	N1a
VK301.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	R0
VK295.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T1
VK315.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T1
VK281.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T2
VK287.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T2b
VK274.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T2b
VK138.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	T2b
VK445.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U3
VK363.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U4
VK385.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U4
VK320.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK446.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK298.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK372.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK291.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK94.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK294.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK328.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK278.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5a
VK326.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5b
VK325.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U5b
VK365.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	U8
VK362.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	V7
VK338.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	W3
VK361.SG	Denmark_Viking.SG	NorthSea_EMA	Denmark	X2
VK140.SG	Denmark_Viking_lc.SG	NorthSea_EMA	Denmark	H27
VK135.SG	Denmark_Viking_lc.SG	NorthSea_EMA	Denmark	H6
VK318.SG	Denmark_Viking_lc.SG	NorthSea_EMA	Denmark	K1b
VK86.SG	Denmark_Viking_lc.SG	NorthSea_EMA	Denmark	T1
VK339.SG	Denmark_Viking_lc.SG	NorthSea_EMA	Denmark	T2a
VK317.SG	Denmark_Viking_o1.SG	NorthSea_EMA	Denmark	H2
VK134.SG	Denmark_Viking_o2.SG	NorthSea_EMA	Denmark	H1
I6775	England_BellBeaker	England_PreEMA	England	H1
I2452	England_BellBeaker	England_PreEMA	England	H1
I6679	England_BellBeaker	England_PreEMA	England	J1c
I5512	England_BellBeaker	England_PreEMA	England	J1c
I2450	England_BellBeaker	England_PreEMA	England	K1a
I2447	England_BellBeaker	England_PreEMA	England	K1a
I6778	England_BellBeaker	England_PreEMA	England	K1a
I2418	England_BellBeaker	England_PreEMA	England	K1a
I4951	England_BellBeaker	England_PreEMA	England	K1b
I2453	England_BellBeaker	England_PreEMA	England	K2a
I3255	England_BellBeaker	England_PreEMA	England	T2b
I3256	England_BellBeaker	England_PreEMA	England	T2b
I5382	England_BellBeaker	England_PreEMA	England	T2b
I2443	England_BellBeaker	England_PreEMA	England	T2c
I2455	England_BellBeaker	England_PreEMA	England	U5a
I4950	England_BellBeaker	England_PreEMA	England	U5a
I1770	England_BellBeaker	England_PreEMA	England	U5b
I5513	England_BellBeaker	England_PreEMA	England	V
I2445	England_BellBeaker	England_PreEMA	England	X2
I2416	England_BellBeaker_highEEF	England_PreEMA	England	K1b
I1765_d	England_BellBeaker_lc	England_PreEMA	England	N1a
I6774	England_BellBeaker_lowEEF	England_PreEMA	England	H4
I5376	England_BellBeaker_lowEEF	England_PreEMA	England	H6
I2417	England_BellBeaker_lowEEF	England_PreEMA	England	J1c
I2454	England_BellBeaker_lowEEF	England_PreEMA	England	R1a
I2459	England_BellBeaker_lowEEF	England_PreEMA	England	T2a
I6680	England_BellBeaker_mediumEEF	England_PreEMA	England	H1
I5379	England_BellBeaker_mediumEEF	England_PreEMA	England	HV
I1767	England_BellBeaker_mediumEEF	England_PreEMA	England	U5a
I2446_published	England_BellBeaker_mediumEEF_published	England_PreEMA	England	K1b
I2565_published	England_BellBeaker_published_lc	England_PreEMA	England	W1
I7573	England_C_EBA	England_PreEMA	England	H1
I5441	England_C_EBA	England_PreEMA	England	H1
I2618	England_C_EBA	England_PreEMA	England	H1
I7635	England_C_EBA	England_PreEMA	England	H1
I2604	England_C_EBA	England_PreEMA	England	H2
I2461	England_C_EBA	England_PreEMA	England	H5
I2464	England_C_EBA	England_PreEMA	England	I2
I2457	England_C_EBA	England_PreEMA	England	I4
I2463	England_C_EBA	England_PreEMA	England	J1c
I7569	England_C_EBA	England_PreEMA	England	K1a
I2566	England_C_EBA	England_PreEMA	England	K1b
I2609	England_C_EBA	England_PreEMA	England	K2a
I2460	England_C_EBA	England_PreEMA	England	T2a
I5377	England_C_EBA	England_PreEMA	England	T2b
I7570	England_C_EBA	England_PreEMA	England	T2b
I2610	England_C_EBA	England_PreEMA	England	U2
I6777	England_C_EBA	England_PreEMA	England	U4
I7639	England_C_EBA	England_PreEMA	England	U5a
I2421	England_C_EBA	England_PreEMA	England	U5a
I7630	England_C_EBA	England_PreEMA	England	U5a
I2601	England_C_EBA	England_PreEMA	England	U5a
I2597	England_C_EBA	England_PreEMA	England	U5a
I2602	England_C_EBA	England_PreEMA	England	U5b
I2612	England_C_EBA	England_PreEMA	England	U5b
I7638	England_C_EBA	England_PreEMA	England	V10
I2600	England_C_EBA_daughter.I2457	England_PreEMA	England	U5b
I2462	England_C_EBA_highEEF	England_PreEMA	England	U5a
I5373	England_C_EBA_lowEEF	England_PreEMA	England	X2
I2596	England_C_EBA_lowEEF_father.or.son.I2597	England_PreEMA	England	J1c
I2598_published	England_C_EBA_published	England_PreEMA	England	H
NO3423.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	H1
I0777.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	H1
I0773.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	H1
I0161.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	H2
I0157.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	H2
I0159.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	K1a
I0774.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	T2a
I0769.SG	England_EarlyMedieval_Saxon.SG	England_EMA	England	U5a
I0160.SG	England_IA.SG	England_PreEMA	England	H1
I0789.SG	England_IA.SG	England_PreEMA	England	H1
I0156.SG	England_IA_ERoman.SG	England_PreEMA	England	K1a
M1489.SG	England_IA_o.SG	England_PreEMA	England	U2
6DT22.SG	England_IA_Roman.SG	England_PreEMA	England	H
6DT18.SG	England_IA_Roman.SG	England_PreEMA	England	H1
3DT16.SG	England_IA_Roman.SG	England_PreEMA	England	H6
6DT23.SG	England_IA_Roman.SG	England_PreEMA	England	H6
6DT3.SG	England_IA_Roman.SG	England_PreEMA	England	J1b
6DT21.SG	England_IA_Roman.SG	England_PreEMA	England	J1c
3DT26.SG	England_IA_Roman_oMiddleEast.SG	England_PreEMA	England	H5
I7576	England_LBA	England_PreEMA	England	J1c
I7628	England_LBA	England_PreEMA	England	T1
I7575	England_LBA	England_PreEMA	England	U5a
I7578	England_LBA	England_PreEMA	England	U5a
I5383	England_LBA_lowEEF	England_PreEMA	England	J1c
I7580	England_LBA_lowEEF	England_PreEMA	England	U5b
I7572	England_MBA	England_PreEMA	England	H13
I7574	England_MBA	England_PreEMA	England	H1
I3082	England_MBA	England_PreEMA	England	H1
I7571	England_MBA	England_PreEMA	England	J1c
I7626	England_MBA	England_PreEMA	England	T2b
I2639	England_MBA	England_PreEMA	England	T2e
I7627	England_MBA	England_PreEMA	England	U4
I7577	England_MBA	England_PreEMA	England	U5a
I7640	England_MBA	England_PreEMA	England	U5a
I7568	England_MBA	England_PreEMA	England	W1
I2458	England_MBA_highEEF	England_PreEMA	England	U5b
I7579	England_MBA_sister.I1780	England_PreEMA	England	U5b
rath3.SG	Ireland_EBA.SG	Britan_PreEMA	Ireland	J2b
rath1.SG	Ireland_EBA.SG	Britan_PreEMA	Ireland	U5a
rath2.SG	Ireland_EBA.SG	Britan_PreEMA	Ireland	U5b
VK523.SG	Norway_IA.SG	Scandinavia_EMA	Norway	I1
VK391.SG	Norway_IA.SG	Scandinavia_EMA	Norway	I3
VK418.SG	Norway_IA.SG	Scandinavia_EMA	Norway	J1c
VK390.SG	Norway_IA.SG	Scandinavia_EMA	Norway	K2a
VK124.SG	Norway_Medieval.SG	Scandinavia_EMA	Norway	H10
VK117.SG	Norway_Medieval.SG	Scandinavia_EMA	Norway	H1
VK118.SG	Norway_Medieval.SG	Scandinavia_EMA	Norway	H1
VK114.SG	Norway_Medieval.SG	Scandinavia_EMA	Norway	R1a
VK116.SG	Norway_Medieval_lc.SG	Scandinavia_EMA	Norway	U6
VK113.SG	Norway_Medieval_o.SG	Scandinavia_EMA	Norway	J1b
VK125.SG	Norway_Medieval_o_lc.SG	Scandinavia_EMA	Norway	U3
VK548.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	A
VK394.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H13
VK392.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H1
VK515.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H52
VK448.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H5
VK414.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H6
VK415.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H6
VK516.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H6
VK529.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H7
VK417.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	H7
VK519.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	HV
VK524.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	HV
VK420.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	I4
VK386.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	J1b
VK422.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	J1b
VK388.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	J1c
VK526.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	J2b
VK528.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	K1a
VK514.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	K2b
VK389.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	T2b
VK387.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U5a
VK525.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U5a
VK419.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U5b
VK520.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U5b
VK421.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U5b
VK393.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	U8
VK547.SG	Norway_Viking.SG	Scandinavia_EMA	Norway	V
VK518.SG	Norway_Viking_o1.SG	Scandinavia_EMA	Norway	U5b
VK530.SG	Norway_Viking_o2.SG	Scandinavia_EMA	Norway	H1
I5385	Scotland_BellBeaker	Britan_PreEMA	Scotland	H5
I5367	Scotland_BellBeaker	Britan_PreEMA	Scotland	V10
I5515	Scotland_C_EBA	Britan_PreEMA	Scotland	H3
I2981	Scotland_C_EBA	Britan_PreEMA	Scotland	T2a
I3132	Scotland_C_EBA	Britan_PreEMA	Scotland	T2a
I5516	Scotland_C_EBA	Britan_PreEMA	Scotland	T2a
I2567	Scotland_C_EBA	Britan_PreEMA	Scotland	U4
I5469	Scotland_C_EBA_lc	Britan_PreEMA	Scotland	H5
I2568	Scotland_C_EBA_mediumhighEEF	Britan_PreEMA	Scotland	U5a
I5471_published	Scotland_C_EBA_mediumhighEEF_published	Britan_PreEMA	Scotland	H1
I2569_published	Scotland_C_EBA_published	Britan_PreEMA	Scotland	K1a
